file,main,res,task,f,corpus
ES2014a.Mix-Headset,0.04,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2014a.Mix-Headset,31.32,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2014b.Mix-Headset,40.29,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2014b.Mix-Headset,26.33,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2014b.Mix-Headset,21.39,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2014b.Mix-Headset,0.05,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2014b.Mix-Headset,45.7,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2014b.Mix-Headset,22.68,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2014b.Mix-Headset,0.05,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2014b.Mix-Headset,26.33,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
ES2014c.Mix-Headset,44.31,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
ES2014c.Mix-Headset,0.04,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
